Metric,QC,QEA0_rel,REA-BTS_rel,REA-LDB-BTS_rel,REA-LDB-BCST_rel,REA-LDB-BW_rel,REA-DB1-BTS_rel,REA-DB1-BCST_rel,REA-DB1-BW_rel
Er_mean,FALSE,775.3,1298.795,1878.995,1299.715,3053.68,456.48,774.015,558.493333333333
Er_rmse,FALSE,43.385,313.07,1778.485,53.195,74.7466666666667,254.405,46.675,39.0633333333333
Er_intercept,FALSE,362.935,474.27,2693.125,136.07,209.226666666667,957.74,216.625,73.8766666666667
Er_slope,FALSE,596.065,1303.51,2315.4,1256.105,4826.99333333333,237.72,781.15,891.85
nondim_u,FALSE,27.745,271.525,768.875,40.755,38.8033333333333,198.155,41.81,35.6366666666667
Er_mean,TRUE,658.44,1297.015,1886.74,1103.735,4426.08333333333,115.55,603.6,934.493333333333
Er_rmse,TRUE,40.83,312.93,1831.355,47.71,70.52,114.455,40.635,34.4833333333333
Er_intercept,TRUE,279,180.805,3152.265,61.38,135.416666666667,410.875,203.355,108.346666666667
Er_slope,TRUE,536.92,1016.335,2520.74,1030.1,3816.65666666667,220.115,588.565,680.19
nondim_u,TRUE,29.13,378.69,1100.35,34.455,40.51,180.72,33.37,31.23
